Number	Header	Position	Time	Altitude	Leg Length	Leg Time	Leg Speed	Leg Course
77	Trackpoint	N6 15.561 W75 34.360	29/04/2024 12:33	1473	12	0:00:01	44 kph	147° true
78	Trackpoint	N6 15.555 W75 34.357	29/04/2024 12:33	1472	13	0:00:01	45 kph	154° true
79	Trackpoint	N6 15.549 W75 34.353	29/04/2024 12:33	1472	13	0:00:01	45 kph	152° true
80	Trackpoint	N6 15.543 W75 34.350	29/04/2024 12:33	1471	12	0:00:01	45 kph	152° true
81	Trackpoint	N6 15.537 W75 34.347	29/04/2024 12:33	1471	12	0:00:01	44 kph	154° true
82	Trackpoint	N6 15.525 W75 34.343	29/04/2024 12:33	1470	24	0:00:01	85 kph	162° true
83	Trackpoint	N6 15.519 W75 34.342	29/04/2024 12:33	1470	12	0:00:01	42 kph	167° true
84	Trackpoint	N6 15.513 W75 34.340	29/04/2024 12:33	1470	11	0:00:01	40 kph	165° true
85	Trackpoint	N6 15.508 W75 34.339	29/04/2024 12:33	1470	10	0:00:01	37 kph	166° true
86	Trackpoint	N6 15.503 W75 34.338	29/04/2024 12:33	1470	9	0:00:01	34 kph	166° true
87	Trackpoint	N6 15.499 W75 34.336	29/04/2024 12:33	1469	8	0:00:01	30 kph	165° true
88	Trackpoint	N6 15.495 W75 34.336	29/04/2024 12:33	1468	8	0:00:01	28 kph	168° true
89	Trackpoint	N6 15.491 W75 34.335	29/04/2024 12:33	1467	8	0:00:01	28 kph	176° true
90	Trackpoint	N6 15.486 W75 34.336	29/04/2024 12:33	1466	8	0:00:01	28 kph	183° true
91	Trackpoint	N6 15.483 W75 34.336	29/04/2024 12:34	1465	6	0:00:01	21 kph	194° true
92	Trackpoint	N6 15.482 W75 34.337	29/04/2024 12:34	1465	3	0:00:01	12 kph	201° true
93	Trackpoint	N6 15.480 W75 34.338	29/04/2024 12:34	1464	3	0:00:01	10 kph	201° true
94	Trackpoint	N6 15.480 W75 34.338	29/04/2024 12:34	1464	1	0:00:01	4 kph	180° true
95	Trackpoint	N6 15.479 W75 34.338	29/04/2024 12:34	1464	1	0:00:01	4 kph	186° true
96	Trackpoint	N6 15.478 W75 34.338	29/04/2024 12:34	1464	1	0:00:01	4 kph	186° true
97	Trackpoint	N6 15.478 W75 34.338	29/04/2024 12:34	1464	1	0:00:01	4 kph	180° true
98	Trackpoint	N6 15.477 W75 34.338	29/04/2024 12:34	1464	1	0:00:01	4 kph	185° true
99	Trackpoint	N6 15.476 W75 34.338	29/04/2024 12:34	1464	1	0:00:01	4 kph	186° true
100	Trackpoint	N6 15.476 W75 34.338	29/04/2024 12:34	1463	1	0:00:01	4 kph	180° true
101	Trackpoint	N6 15.475 W75 34.338	29/04/2024 12:34	1463	1	0:00:01	4 kph	185° true
102	Trackpoint	N6 15.475 W75 34.338	29/04/2024 12:34	1463	1	0:00:01	4 kph	186° true
103	Trackpoint	N6 15.474 W75 34.338	29/04/2024 12:34	1463	1	0:00:01	4 kph	180° true
104	Trackpoint	N6 15.473 W75 34.338	29/04/2024 12:34	1463	1	0:00:13	0.3 kph	185° true
105	Trackpoint	N6 15.473 W75 34.338	29/04/2024 12:34	1463	1	0:00:01	4 kph	180° true
106	Trackpoint	N6 15.469 W75 34.339	29/04/2024 12:34	1464	8	0:00:01	28 kph	192° true
107	Trackpoint	N6 15.464 W75 34.340	29/04/2024 12:34	1464	8	0:00:01	30 kph	189° true
108	Trackpoint	N6 15.460 W75 34.341	29/04/2024 12:34	1465	9	0:00:01	33 kph	202° true
109	Trackpoint	N6 15.455 W75 34.344	29/04/2024 12:34	1466	10	0:00:01	34 kph	205° true
110	Trackpoint	N6 15.450 W75 34.346	29/04/2024 12:34	1466	10	0:00:01	37 kph	201° true
111	Trackpoint	N6 15.444 W75 34.347	29/04/2024 12:34	1467	11	0:00:01	40 kph	195° true
112	Trackpoint	N6 15.438 W75 34.349	29/04/2024 12:34	1467	12	0:00:01	43 kph	194° true
113	Trackpoint	N6 15.432 W75 34.351	29/04/2024 12:34	1468	11	0:00:01	41 kph	200° true
114	Trackpoint	N6 15.427 W75 34.353	29/04/2024 12:34	1469	10	0:00:01	36 kph	203° true
115	Trackpoint	N6 15.423 W75 34.355	29/04/2024 12:34	1469	8	0:00:01	29 kph	208° true
116	Trackpoint	N6 15.420 W75 34.357	29/04/2024 12:34	1469	7	0:00:01	24 kph	210° true
117	Trackpoint	N6 15.418 W75 34.358	29/04/2024 12:34	1470	5	0:00:01	18 kph	209° true
118	Trackpoint	N6 15.416 W75 34.359	29/04/2024 12:34	1470	3	0:00:01	12 kph	199° true
119	Trackpoint	N6 15.415 W75 34.359	29/04/2024 12:34	1470	2	0:00:01	9 kph	196° true
120	Trackpoint	N6 15.414 W75 34.360	29/04/2024 12:34	1470	2	0:00:01	6 kph	239° true
121	Trackpoint	N6 15.414 W75 34.360	29/04/2024 12:34	1470	1	0:00:01	4 kph	257° true
122	Trackpoint	N6 15.414 W75 34.361	29/04/2024 12:34	1470	1	0:00:01	3 kph	247° true
123	Trackpoint	N6 15.414 W75 34.361	29/04/2024 12:34	1470	1	0:00:01	4 kph	243° true
124	Trackpoint	N6 15.413 W75 34.363	29/04/2024 12:34	1470	4	0:00:01	14 kph	246° true
125	Trackpoint	N6 15.412 W75 34.364	29/04/2024 12:34	1470	2	0:00:01	6 kph	219° true
126	Trackpoint	N6 15.411 W75 34.366	29/04/2024 12:34	1470	5	0:00:01	17 kph	243° true
127	Trackpoint	N6 15.409 W75 34.367	29/04/2024 12:34	1470	4	0:00:01	16 kph	211° true
128	Trackpoint	N6 15.408 W75 34.368	29/04/2024 12:34	1471	4	0:00:01	13 kph	215° true
129	Trackpoint	N6 15.406 W75 34.369	29/04/2024 12:34	1471	4	0:00:01	13 kph	210° true
130	Trackpoint	N6 15.405 W75 34.370	29/04/2024 12:34	1471	1	0:00:01	5 kph	241° true
131	Trackpoint	N6 15.404 W75 34.371	29/04/2024 12:34	1471	3	0:00:01	12 kph	209° true
132	Trackpoint	N6 15.402 W75 34.372	29/04/2024 12:34	1471	4	0:00:01	15 kph	205° true
133	Trackpoint	N6 15.400 W75 34.374	29/04/2024 12:34	1471	6	0:00:01	20 kph	220° true
134	Trackpoint	N6 15.397 W75 34.377	29/04/2024 12:34	1471	7	0:00:01	26 kph	224° true
135	Trackpoint	N6 15.394 W75 34.380	29/04/2024 12:34	1470	8	0:00:01	30 kph	224° true
136	Trackpoint	N6 15.390 W75 34.383	29/04/2024 12:34	1470	9	0:00:01	34 kph	228° true
137	Trackpoint	N6 15.386 W75 34.387	29/04/2024 12:34	1470	10	0:00:01	36 kph	223° true
138	Trackpoint	N6 15.382 W75 34.391	29/04/2024 12:34	1470	10	0:00:01	37 kph	220° true
139	Trackpoint	N6 15.378 W75 34.395	29/04/2024 12:35	1470	11	0:00:01	38 kph	227° true
140	Trackpoint	N6 15.374 W75 34.399	29/04/2024 12:35	1470	11	0:00:01	41 kph	225° true
141	Trackpoint	N6 15.370 W75 34.404	29/04/2024 12:35	1470	11	0:00:01	39 kph	227° true
