Grid	Lat/Long hddd°mm.mmm'
Datum	WGS 84

Header	Name	Start Time	Elapsed Time	Length	Average Speed	Link

Track	Bicicleta eléctrica a la hora del almuerzo	29/04/2024 12:32:29 p. m. 	0:14:29	7.7 km	32 kph	

Header	Position	Time	Altitude	Depth	Temperature	Leg Length	Leg Time	Leg Speed	Leg Course
Trackpoint	N6 15.150 W75 34.504	29/04/2024 12:35:40 p. m. 	1471 m			12 m	0:00:01	45 kph	191° true
Trackpoint	N6 15.144 W75 34.505	29/04/2024 12:35:41 p. m. 	1472 m			11 m	0:00:01	41 kph	190° true
Trackpoint	N6 15.138 W75 34.506	29/04/2024 12:35:42 p. m. 	1472 m			10 m	0:00:01	37 kph	185° true
Trackpoint	N6 15.133 W75 34.506	29/04/2024 12:35:43 p. m. 	1472 m			9 m	0:00:01	33 kph	184° true
Trackpoint	N6 15.129 W75 34.506	29/04/2024 12:35:44 p. m. 	1473 m			8 m	0:00:01	30 kph	185° true
Trackpoint	N6 15.124 W75 34.506	29/04/2024 12:35:45 p. m. 	1473 m			8 m	0:00:01	29 kph	182° true
Trackpoint	N6 15.120 W75 34.507	29/04/2024 12:35:46 p. m. 	1473 m			8 m	0:00:01	28 kph	187° true
Trackpoint	N6 15.116 W75 34.507	29/04/2024 12:35:47 p. m. 	1474 m			8 m	0:00:01	28 kph	182° true
Trackpoint	N6 15.112 W75 34.508	29/04/2024 12:35:48 p. m. 	1474 m			8 m	0:00:01	28 kph	187° true
Trackpoint	N6 15.108 W75 34.508	29/04/2024 12:35:49 p. m. 	1474 m			7 m	0:00:01	26 kph	184° true
Trackpoint	N6 15.104 W75 34.508	29/04/2024 12:35:50 p. m. 	1474 m			6 m	0:00:01	23 kph	179° true
Trackpoint	N6 15.102 W75 34.508	29/04/2024 12:35:51 p. m. 	1474 m			6 m	0:00:01	20 kph	188° true
Trackpoint	N6 15.099 W75 34.509	29/04/2024 12:35:52 p. m. 	1474 m			5 m	0:00:01	18 kph	195° true
Trackpoint	N6 15.097 W75 34.509	29/04/2024 12:35:53 p. m. 	1474 m			4 m	0:00:01	16 kph	190° true
Trackpoint	N6 15.095 W75 34.509	29/04/2024 12:35:54 p. m. 	1474 m			4 m	0:00:01	14 kph	182° true
Trackpoint	N6 15.093 W75 34.510	29/04/2024 12:35:55 p. m. 	1474 m			3 m	0:00:01	12 kph	182° true
Trackpoint	N6 15.091 W75 34.510	29/04/2024 12:35:56 p. m. 	1474 m			3 m	0:00:01	12 kph	194° true
Trackpoint	N6 15.089 W75 34.510	29/04/2024 12:35:57 p. m. 	1474 m			3 m	0:00:01	12 kph	169° true
Trackpoint	N6 15.087 W75 34.509	29/04/2024 12:35:58 p. m. 	1474 m			4 m	0:00:01	14 kph	161° true
Trackpoint	N6 15.086 W75 34.509	29/04/2024 12:35:59 p. m. 	1474 m			3 m	0:00:01	11 kph	174° true
Trackpoint	N6 15.084 W75 34.509	29/04/2024 12:36:00 p. m. 	1474 m			4 m	0:00:01	15 kph	178° true
Trackpoint	N6 15.083 W75 34.509	29/04/2024 12:36:01 p. m. 	1474 m			1 m	0:00:01	5 kph	189° true
Trackpoint	N6 15.080 W75 34.509	29/04/2024 12:36:02 p. m. 	1474 m			4 m	0:00:01	16 kph	179° true
Trackpoint	N6 15.079 W75 34.509	29/04/2024 12:36:03 p. m. 	1474 m			2 m	0:00:01	7 kph	170° true
Trackpoint	N6 15.077 W75 34.509	29/04/2024 12:36:04 p. m. 	1474 m			5 m	0:00:01	17 kph	180° true
Trackpoint	N6 15.074 W75 34.509	29/04/2024 12:36:05 p. m. 	1474 m			6 m	0:00:01	21 kph	188° true
Trackpoint	N6 15.071 W75 34.510	29/04/2024 12:36:06 p. m. 	1474 m			6 m	0:00:01	23 kph	191° true
Trackpoint	N6 15.067 W75 34.510	29/04/2024 12:36:07 p. m. 	1474 m			7 m	0:00:01	25 kph	184° true
Trackpoint	N6 15.063 W75 34.510	29/04/2024 12:36:08 p. m. 	1474 m			8 m	0:00:01	28 kph	181° true
Trackpoint	N6 15.058 W75 34.509	29/04/2024 12:36:09 p. m. 	1474 m			8 m	0:00:01	30 kph	173° true
Trackpoint	N6 15.053 W75 34.509	29/04/2024 12:36:10 p. m. 	1474 m			9 m	0:00:01	32 kph	179° true
