Number;Header;Position;Time;Altitude;Leg Length;Leg Time;Leg Speed;Leg Course
109;Trackpoint;N6 15.455 W75 34.344;29/04/2024 12:34;1466;10;0:00:01;34 kph;205ｰ true
110;Trackpoint;N6 15.450 W75 34.346;29/04/2024 12:34;1466;10;0:00:01;37 kph;201ｰ true
111;Trackpoint;N6 15.444 W75 34.347;29/04/2024 12:34;1467;11;0:00:01;40 kph;195ｰ true
112;Trackpoint;N6 15.438 W75 34.349;29/04/2024 12:34;1467;12;0:00:01;43 kph;194ｰ true
113;Trackpoint;N6 15.432 W75 34.351;29/04/2024 12:34;1468;11;0:00:01;41 kph;200ｰ true
114;Trackpoint;N6 15.427 W75 34.353;29/04/2024 12:34;1469;10;0:00:01;36 kph;203ｰ true
115;Trackpoint;N6 15.423 W75 34.355;29/04/2024 12:34;1469;8;0:00:01;29 kph;208ｰ true
116;Trackpoint;N6 15.420 W75 34.357;29/04/2024 12:34;1469;7;0:00:01;24 kph;210ｰ true
117;Trackpoint;N6 15.418 W75 34.358;29/04/2024 12:34;1470;5;0:00:01;18 kph;209ｰ true
118;Trackpoint;N6 15.416 W75 34.359;29/04/2024 12:34;1470;3;0:00:01;12 kph;199ｰ true
119;Trackpoint;N6 15.415 W75 34.359;29/04/2024 12:34;1470;2;0:00:01;9 kph;196ｰ true
120;Trackpoint;N6 15.414 W75 34.360;29/04/2024 12:34;1470;2;0:00:01;6 kph;239ｰ true
121;Trackpoint;N6 15.414 W75 34.360;29/04/2024 12:34;1470;1;0:00:01;4 kph;257ｰ true
122;Trackpoint;N6 15.414 W75 34.361;29/04/2024 12:34;1470;1;0:00:01;3 kph;247ｰ true
123;Trackpoint;N6 15.414 W75 34.361;29/04/2024 12:34;1470;1;0:00:01;4 kph;243ｰ true
124;Trackpoint;N6 15.413 W75 34.363;29/04/2024 12:34;1470;4;0:00:01;14 kph;246ｰ true
125;Trackpoint;N6 15.412 W75 34.364;29/04/2024 12:34;1470;2;0:00:01;6 kph;219ｰ true
126;Trackpoint;N6 15.411 W75 34.366;29/04/2024 12:34;1470;5;0:00:01;17 kph;243ｰ true
127;Trackpoint;N6 15.409 W75 34.367;29/04/2024 12:34;1470;4;0:00:01;16 kph;211ｰ true
128;Trackpoint;N6 15.408 W75 34.368;29/04/2024 12:34;1471;4;0:00:01;13 kph;215ｰ true
129;Trackpoint;N6 15.406 W75 34.369;29/04/2024 12:34;1471;4;0:00:01;13 kph;210ｰ true
130;Trackpoint;N6 15.405 W75 34.370;29/04/2024 12:34;1471;1;0:00:01;5 kph;241ｰ true
131;Trackpoint;N6 15.404 W75 34.371;29/04/2024 12:34;1471;3;0:00:01;12 kph;209ｰ true
132;Trackpoint;N6 15.402 W75 34.372;29/04/2024 12:34;1471;4;0:00:01;15 kph;205ｰ true
133;Trackpoint;N6 15.400 W75 34.374;29/04/2024 12:34;1471;6;0:00:01;20 kph;220ｰ true
134;Trackpoint;N6 15.397 W75 34.377;29/04/2024 12:34;1471;7;0:00:01;26 kph;224ｰ true
135;Trackpoint;N6 15.394 W75 34.380;29/04/2024 12:34;1470;8;0:00:01;30 kph;224ｰ true
136;Trackpoint;N6 15.390 W75 34.383;29/04/2024 12:34;1470;9;0:00:01;34 kph;228ｰ true
137;Trackpoint;N6 15.386 W75 34.387;29/04/2024 12:34;1470;10;0:00:01;36 kph;223ｰ true
138;Trackpoint;N6 15.382 W75 34.391;29/04/2024 12:34;1470;10;0:00:01;37 kph;220ｰ true
139;Trackpoint;N6 15.378 W75 34.395;29/04/2024 12:35;1470;11;0:00:01;38 kph;227ｰ true
140;Trackpoint;N6 15.374 W75 34.399;29/04/2024 12:35;1470;11;0:00:01;41 kph;225ｰ true
141;Trackpoint;N6 15.370 W75 34.404;29/04/2024 12:35;1470;11;0:00:01;39 kph;227ｰ true
142;Trackpoint;N6 15.366 W75 34.409;29/04/2024 12:35;1470;11;0:00:01;38 kph;235ｰ true
143;Trackpoint;N6 15.362 W75 34.411;29/04/2024 12:35;1470;10;0:00:01;37 kph;212ｰ true
144;Trackpoint;N6 15.357 W75 34.415;29/04/2024 12:35;1470;10;0:00:01;37 kph;218ｰ true
145;Trackpoint;N6 15.353 W75 34.418;29/04/2024 12:35;1470;10;0:00:01;37 kph;218ｰ true
146;Trackpoint;N6 15.349 W75 34.422;29/04/2024 12:35;1470;10;0:00:01;36 kph;224ｰ true
147;Trackpoint;N6 15.345 W75 34.426;29/04/2024 12:35;1470;10;0:00:01;36 kph;223ｰ true
148;Trackpoint;N6 15.341 W75 34.430;29/04/2024 12:35;1470;10;0:00:01;36 kph;223ｰ true
149;Trackpoint;N6 15.337 W75 34.434;29/04/2024 12:35;1470;11;0:00:01;39 kph;223ｰ true
150;Trackpoint;N6 15.332 W75 34.438;29/04/2024 12:35;1470;11;0:00:01;41 kph;220ｰ true
151;Trackpoint;N6 15.327 W75 34.442;29/04/2024 12:35;1470;12;0:00:01;43 kph;220ｰ true
152;Trackpoint;N6 15.323 W75 34.446;29/04/2024 12:35;1470;12;0:00:01;43 kph;223ｰ true
153;Trackpoint;N6 15.318 W75 34.451;29/04/2024 12:35;1470;12;0:00:01;44 kph;221ｰ true
154;Trackpoint;N6 15.313 W75 34.455;29/04/2024 12:35;1470;13;0:00:01;45 kph;223ｰ true
155;Trackpoint;N6 15.308 W75 34.460;29/04/2024 12:35;1470;13;0:00:01;45 kph;223ｰ true
156;Trackpoint;N6 15.303 W75 34.464;29/04/2024 12:35;1471;12;0:00:01;44 kph;222ｰ true
157;Trackpoint;N6 15.298 W75 34.469;29/04/2024 12:35;1471;13;0:00:01;46 kph;225ｰ true
158;Trackpoint;N6 15.293 W75 34.474;29/04/2024 12:35;1471;12;0:00:01;45 kph;225ｰ true
159;Trackpoint;N6 15.288 W75 34.478;29/04/2024 12:35;1471;12;0:00:01;44 kph;222ｰ true
160;Trackpoint;N6 15.283 W75 34.482;29/04/2024 12:35;1471;13;0:00:01;45 kph;215ｰ true
161;Trackpoint;N6 15.277 W75 34.486;29/04/2024 12:35;1471;13;0:00:01;47 kph;212ｰ true
162;Trackpoint;N6 15.270 W75 34.489;29/04/2024 12:35;1471;13;0:00:01;46 kph;204ｰ true
163;Trackpoint;N6 15.264 W75 34.492;29/04/2024 12:35;1471;13;0:00:01;46 kph;206ｰ true
164;Trackpoint;N6 15.258 W75 34.495;29/04/2024 12:35;1471;13;0:00:01;47 kph;203ｰ true
165;Trackpoint;N6 15.251 W75 34.496;29/04/2024 12:35;1471;13;0:00:01;46 kph;195ｰ true
166;Trackpoint;N6 15.244 W75 34.498;29/04/2024 12:35;1471;13;0:00:01;47 kph;191ｰ true
167;Trackpoint;N6 15.237 W75 34.499;29/04/2024 12:35;1471;13;0:00:01;48 kph;187ｰ true
168;Trackpoint;N6 15.230 W75 34.499;29/04/2024 12:35;1470;14;0:00:01;49 kph;184ｰ true
